iterations,js1
300,0.058104129
600,0.027349352
900,0.027161109
1200,0.020827578
1500,0.018439977
1800,0.014298182
2100,0.014321084
2400,0.011942749
2700,0.01070064
3000,0.010435141
3300,0.009902881
3600,0.008022247
3900,0.009228699
4200,0.007645386
4500,0.006299715
4800,0.007528173
5100,0.007977406
5400,0.007012281
5700,0.005674186
6000,0.008196395
6300,0.006730506
6600,0.006298929
6900,0.005218051
7200,0.004123727
7500,0.004445426
7800,0.005262715
8100,0.004355419
8400,0.005225765
8700,0.004811591
9000,0.003549654
9300,0.005993413
9600,0.002517637
9900,0.003847772
10200,0.003550335
10500,0.003960216
10800,0.002462033
11100,0.004288778
11400,0.002990209
11700,0.001923903
12000,0.004468419
12300,0.003508117
12600,0.00239719
12900,0.002746168
13200,0.003401325
13500,0.002073134
13800,0.002142151
14100,0.001760759
14400,0.001899797
14700,0.001875995
15000,0.002845923
15300,0.003658319
15600,0.003298026
15900,0.002169384
16200,0.002595719
16500,0.002400706
16800,0.002528343
17100,0.001835432
17400,0.002716941
17700,0.00315363
18000,0.001328288
18300,0.00260507
18600,0.001772844
18900,0.002145938
19200,0.003367991
19500,0.001936497
19800,0.001470371
20100,0.001854775
20400,0.001798035
20700,0.002972246
21000,0.001943114
21300,0.002258107
21600,0.0015303
21900,0.002577781
22200,0.0029907
22500,0.002717114
22800,0.003875759
23100,0.003346346
23400,0.003245165
23700,0.002925927
24000,0.002090396
24300,0.002267174
24600,0.0020921
24900,0.002923465
25200,0.00282048
25500,0.001409717
25800,0.001842654
26100,0.001942077
26400,0.002247058
26700,0.002276952
27000,0.002381491
27300,0.005387331
27600,0.002986764
27900,0.001921229
28200,0.001567464
28500,0.001633779
28800,0.001893258
29100,0.002917845
29400,0.001769763
29700,0.00138646
30000,0.001637441
