DOMAIN,MCR,NS1,NS2,NS3,NS4,NS5,NCR
ubucentrum,22.8,2960.7,315.0,67.875,6.85714285714,1.5,0.0
pinkpigmy,8.33333333333,2349.22222222,226.5,5.71428571429,0.166666666667,0.0,0.0
voyage-net,25.5,3220.4,137.888888889,14.0,0.0,0.0,0.0
novel,3.6,3492.6,266.75,40.6666666667,3.5,1.0,0.0
kinokong,18.375,2848.5,507.428571429,15.1666666667,0.0,0.0,0.0
essexschoolsjobs,30.375,3223.625,203.4,19.4285714286,3.46153846154,0.666666666667,0.0
yorklibraries,18.4615384615,3494.61538462,365.416666667,27.0909090909,5.4,1.44444444444,0.0
esxema,10.5,3746.5,295.8,5.75,0.0,0.0,0.0
culonas,39.4285714286,3387.71428571,365.333333333,23.2,0.0,0.0,0.0
archnews,11.0,3431.625,219.714285714,15.3333333333,4.4,0.0,0.0
kiss959,1.28571428571,1896.57142857,131.666666667,8.6,0.0,0.0,0.428571428571
implisense,41.1,3948.6,419.666666667,43.875,6.57142857143,1.33333333333,0.0
resume,108.5,4016.83333333,546.6,62.0,6.66666666667,2.5,0.0
wife-ero,0.75,3257.75,287.0,3.83333333333,0.2,0.0,0.0
xxxjizzyou,0.0,1220.4,45.8888888889,1.75,0.0,0.0,0.0
franciscanos,18.0,3655.41666667,336.545454545,33.9,4.88888888889,1.0,0.0
yugserv,27.0,2847.0,319.0,22.4,7.75,0.0,0.0
tumblr,3.5,2620.16666667,96.6,5.5,0.666666666667,0.5,0.0
liverail,44.25,3757.5,488.571428571,80.0,10.8,2.0,0.0
xetnghiemdakhoa,1.2,3085.93333333,169.0,1.69230769231,0.0,0.0,0.0
